datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,count
2011-01-01 00:00:00,1,0,0,1,9.84,14.395,81,0.0,16.0
2011-01-01 01:00:00,1,0,0,1,9.02,13.635,80,0.0,40.0
2011-01-01 02:00:00,1,0,0,1,9.02,13.635,80,0.0,32.0
2011-01-01 03:00:00,1,0,0,1,9.84,14.395,75,0.0,13.0
2011-01-01 04:00:00,1,0,0,1,9.84,14.395,75,0.0,1.0
2011-01-01 05:00:00,1,0,0,2,9.84,12.88,75,6.0032,1.0
2011-01-01 06:00:00,1,0,0,1,9.02,13.635,80,0.0,2.0
2011-01-01 07:00:00,1,0,0,1,8.2,12.88,86,0.0,3.0
2011-01-01 08:00:00,1,0,0,1,9.84,14.395,75,0.0,8.0
2011-01-01 09:00:00,1,0,0,1,13.12,17.425,76,0.0,14.0
2011-01-01 10:00:00,1,0,0,1,15.58,19.695,76,16.9979,36.0
2011-01-01 11:00:00,1,0,0,1,14.76,16.665,81,19.0012,56.0
2011-01-01 12:00:00,1,0,0,1,17.22,21.21,77,19.0012,84.0
2011-01-01 13:00:00,1,0,0,2,18.86,22.725,72,19.9995,94.0
2011-01-01 14:00:00,1,0,0,2,18.86,22.725,72,19.0012,106.0
2011-01-01 15:00:00,1,0,0,2,18.04,21.97,77,19.9995,110.0
2011-01-01 16:00:00,1,0,0,2,17.22,21.21,82,19.9995,93.0
2011-01-01 17:00:00,1,0,0,2,18.04,21.97,82,19.0012,67.0
2011-01-01 18:00:00,1,0,0,3,17.22,21.21,88,16.9979,35.0
2011-01-01 19:00:00,1,0,0,3,17.22,21.21,88,16.9979,37.0
2011-01-01 20:00:00,1,0,0,2,16.4,20.455,87,16.9979,36.0
2011-01-01 21:00:00,1,0,0,2,16.4,20.455,87,12.998,34.0
2011-01-01 22:00:00,1,0,0,2,16.4,20.455,94,15.0013,28.0
2011-01-01 23:00:00,1,0,0,2,18.86,22.725,88,19.9995,39.0
2011-01-02 00:00:00,1,0,0,2,18.86,22.725,88,19.9995,17.0
2011-01-02 01:00:00,1,0,0,2,18.04,21.97,94,16.9979,17.0
2011-01-02 02:00:00,1,0,0,2,17.22,21.21,100,19.0012,9.0
2011-01-02 03:00:00,1,0,0,2,18.86,22.725,94,12.998,6.0
2011-01-02 04:00:00,1,0,0,2,18.86,22.725,94,12.998,3.0
2011-01-02 06:00:00,1,0,0,3,17.22,21.21,77,19.9995,2.0
2011-01-02 07:00:00,1,0,0,2,16.4,20.455,76,12.998,1.0
2011-01-02 08:00:00,1,0,0,3,16.4,20.455,71,15.0013,8.0
2011-01-02 09:00:00,1,0,0,2,15.58,19.695,76,15.0013,20.0
2011-01-02 10:00:00,1,0,0,2,14.76,17.425,81,15.0013,53.0
2011-01-02 11:00:00,1,0,0,2,14.76,16.665,71,16.9979,70.0
2011-01-02 12:00:00,1,0,0,2,14.76,16.665,66,19.9995,93.0
2011-01-02 13:00:00,1,0,0,2,14.76,17.425,66,8.9981,75.0
2011-01-02 14:00:00,1,0,0,3,14.76,17.425,76,12.998,59.0
2011-01-02 15:00:00,1,0,0,3,13.94,16.665,81,11.0014,74.0
2011-01-02 16:00:00,1,0,0,3,13.94,16.665,71,11.0014,76.0
2011-01-02 17:00:00,1,0,0,1,13.94,16.665,57,12.998,65.0
2011-01-02 18:00:00,1,0,0,2,14.76,16.665,46,22.0028,53.0
2011-01-02 19:00:00,1,0,0,1,13.12,14.395,42,30.0026,30.0
2011-01-02 20:00:00,1,0,0,1,12.3,13.635,39,23.9994,22.0
2011-01-02 21:00:00,1,0,0,1,10.66,11.365,44,22.0028,31.0
2011-01-02 22:00:00,1,0,0,1,9.84,10.605,44,19.9995,9.0
2011-01-02 23:00:00,1,0,0,1,9.02,11.365,47,11.0014,8.0
2011-01-03 00:00:00,1,0,1,1,9.02,9.85,44,23.9994,5.0
2011-01-03 01:00:00,1,0,1,1,8.2,8.335,44,27.9993,2.0
2011-01-03 04:00:00,1,0,1,1,6.56,6.82,47,26.0027,1.0
2011-01-03 05:00:00,1,0,1,1,6.56,6.82,47,19.0012,3.0
2011-01-03 06:00:00,1,0,1,1,5.74,5.305,50,26.0027,30.0
2011-01-03 07:00:00,1,0,1,1,5.74,6.82,50,12.998,64.0
2011-01-03 08:00:00,1,0,1,1,5.74,6.06,50,19.0012,154.0
2011-01-03 09:00:00,1,0,1,1,6.56,6.82,43,26.0027,88.0
2011-01-03 10:00:00,1,0,1,1,7.38,8.335,43,16.9979,44.0
2011-01-03 11:00:00,1,0,1,1,8.2,9.09,40,22.0028,51.0
2011-01-03 12:00:00,1,0,1,1,9.02,10.605,35,19.9995,61.0
2011-01-03 13:00:00,1,0,1,1,9.84,10.605,35,19.0012,61.0
2011-01-03 14:00:00,1,0,1,1,10.66,12.12,30,19.0012,77.0
2011-01-03 15:00:00,1,0,1,1,10.66,12.12,30,16.9979,72.0
2011-01-03 16:00:00,1,0,1,1,10.66,12.12,30,16.9979,76.0
2011-01-03 17:00:00,1,0,1,1,9.84,11.365,30,15.0013,157.0
2011-01-03 18:00:00,1,0,1,1,9.84,12.88,32,7.0015,157.0
2011-01-03 19:00:00,1,0,1,1,8.2,12.88,47,0.0,110.0
2011-01-03 20:00:00,1,0,1,1,8.2,11.365,47,7.0015,52.0
2011-01-03 21:00:00,1,0,1,1,7.38,9.85,64,8.9981,52.0
2011-01-03 22:00:00,1,0,1,1,5.74,7.575,69,8.9981,20.0
2011-01-03 23:00:00,1,0,1,1,7.38,10.605,55,7.0015,12.0
2011-01-04 00:00:00,1,0,1,1,6.56,9.09,55,7.0015,5.0
2011-01-04 01:00:00,1,0,1,1,6.56,9.09,59,7.0015,2.0
2011-01-04 02:00:00,1,0,1,1,5.74,7.575,63,8.9981,1.0
2011-01-04 04:00:00,1,0,1,1,5.74,9.09,63,6.0032,2.0
2011-01-04 05:00:00,1,0,1,1,4.92,7.575,68,7.0015,4.0
2011-01-04 06:00:00,1,0,1,1,4.92,7.575,74,7.0015,36.0
2011-01-04 07:00:00,1,0,1,1,4.92,7.575,74,8.9981,94.0
2011-01-04 08:00:00,1,0,1,1,5.74,7.575,69,11.0014,179.0
2011-01-04 09:00:00,1,0,1,1,6.56,7.575,64,15.0013,100.0
2011-01-04 10:00:00,1,0,1,2,6.56,6.82,69,22.0028,42.0
2011-01-04 11:00:00,1,0,1,1,9.02,10.605,51,19.9995,57.0
2011-01-04 12:00:00,1,0,1,1,9.02,11.365,51,11.0014,78.0
2011-01-04 13:00:00,1,0,1,1,9.84,11.365,56,12.998,97.0
2011-01-04 14:00:00,1,0,1,1,10.66,12.88,52,15.0013,63.0
2011-01-04 15:00:00,1,0,1,1,11.48,13.635,52,16.9979,65.0
2011-01-04 16:00:00,1,0,1,1,12.3,14.395,49,16.9979,83.0
2011-01-04 17:00:00,1,0,1,1,11.48,13.635,48,15.0013,212.0
2011-01-04 18:00:00,1,0,1,1,10.66,12.88,48,12.998,182.0
2011-01-04 19:00:00,1,0,1,1,9.84,12.88,48,7.0015,112.0
2011-01-04 20:00:00,1,0,1,1,9.84,12.88,48,7.0015,54.0
2011-01-04 21:00:00,1,0,1,1,9.02,13.635,64,0.0,48.0
2011-01-04 22:00:00,1,0,1,1,9.02,12.88,64,6.0032,35.0
2011-01-04 23:00:00,1,0,1,1,8.2,11.365,69,6.0032,11.0
2011-01-05 00:00:00,1,0,1,1,8.2,12.88,64,0.0,6.0
2011-01-05 01:00:00,1,0,1,1,6.56,9.85,74,6.0032,6.0
2011-01-05 02:00:00,1,0,1,1,6.56,9.85,74,6.0032,2.0
2011-01-05 04:00:00,1,0,1,1,9.84,11.365,48,15.0013,2.0
2011-01-05 05:00:00,1,0,1,1,9.02,11.365,47,11.0014,3.0
2011-01-05 06:00:00,1,0,1,1,8.2,9.85,47,15.0013,33.0
2011-01-05 07:00:00,1,0,1,1,7.38,9.09,43,12.998,88.0
2011-01-05 08:00:00,1,0,1,1,8.2,9.09,40,19.9995,195.0
2011-01-05 09:00:00,1,0,1,1,9.02,9.85,37,22.0028,115.0
2011-01-05 10:00:00,1,0,1,1,9.02,9.85,37,22.0028,57.0
2011-01-05 11:00:00,1,0,1,1,10.66,11.365,33,22.0028,46.0
2011-01-05 12:00:00,1,0,1,1,10.66,11.365,33,22.0028,79.0
2011-01-05 13:00:00,1,0,1,1,11.48,12.88,30,19.9995,71.0
2011-01-05 14:00:00,1,0,1,1,12.3,14.395,28,12.998,62.0
2011-01-05 15:00:00,1,0,1,1,12.3,14.395,28,12.998,62.0
2011-01-05 16:00:00,1,0,1,1,12.3,15.91,28,6.0032,89.0
2011-01-05 17:00:00,1,0,1,1,9.84,11.365,38,12.998,190.0
2011-01-05 18:00:00,1,0,1,1,9.84,12.12,38,8.9981,169.0
2011-01-05 19:00:00,1,0,1,1,9.84,12.88,38,7.0015,132.0
2011-01-05 20:00:00,1,0,1,1,9.02,11.365,47,11.0014,89.0
2011-01-05 21:00:00,1,0,1,1,8.2,9.85,51,12.998,43.0
2011-01-05 22:00:00,1,0,1,1,7.38,9.85,55,8.9981,42.0
2011-01-05 23:00:00,1,0,1,1,8.2,12.88,47,0.0,19.0
2011-01-06 00:00:00,1,0,1,1,7.38,12.12,55,0.0,11.0
2011-01-06 01:00:00,1,0,1,1,6.56,11.365,64,0.0,4.0
2011-01-06 02:00:00,1,0,1,1,6.56,11.365,64,0.0,2.0
2011-01-06 04:00:00,1,0,1,2,6.56,9.85,64,6.0032,1.0
2011-01-06 05:00:00,1,0,1,2,5.74,9.09,69,6.0032,4.0
2011-01-06 06:00:00,1,0,1,2,5.74,8.335,63,7.0015,36.0
2011-01-06 07:00:00,1,0,1,2,6.56,11.365,59,0.0,95.0
2011-01-06 08:00:00,1,0,1,1,6.56,11.365,59,0.0,219.0
2011-01-06 09:00:00,1,0,1,2,7.38,12.12,51,0.0,122.0
2011-01-06 10:00:00,1,0,1,1,8.2,12.88,47,0.0,45.0
2011-01-06 11:00:00,1,0,1,1,9.02,12.88,44,6.0032,59.0
2011-01-06 12:00:00,1,0,1,1,10.66,14.395,35,0.0,84.0
2011-01-06 13:00:00,1,0,1,1,10.66,13.635,35,7.0015,67.0
2011-01-06 14:00:00,1,0,1,1,11.48,13.635,36,11.0014,70.0
2011-01-06 15:00:00,1,0,1,1,11.48,13.635,36,0.0,62.0
2011-01-06 16:00:00,1,0,1,1,10.66,12.88,38,11.0014,86.0
2011-01-06 17:00:00,1,0,1,1,9.02,11.365,51,11.0014,172.0
2011-01-06 18:00:00,1,0,1,1,9.02,11.365,51,8.9981,163.0
2011-01-06 19:00:00,1,0,1,1,9.02,12.88,55,6.0032,112.0
2011-01-06 20:00:00,1,0,1,1,8.2,10.605,51,11.0014,69.0
2011-01-06 21:00:00,1,0,1,2,9.02,10.605,55,15.0013,48.0
2011-01-06 22:00:00,1,0,1,2,9.02,10.605,51,19.0012,52.0
2011-01-06 23:00:00,1,0,1,2,8.2,9.85,59,12.998,23.0
2011-01-07 00:00:00,1,0,1,2,8.2,9.85,64,12.998,17.0
2011-01-07 01:00:00,1,0,1,2,8.2,9.85,69,15.0013,7.0
2011-01-07 02:00:00,1,0,1,2,8.2,9.85,69,15.0013,1.0
2011-01-07 04:00:00,1,0,1,2,8.2,10.605,69,8.9981,1.0
2011-01-07 05:00:00,1,0,1,3,9.02,13.635,55,0.0,5.0
2011-01-07 06:00:00,1,0,1,2,8.2,12.88,69,0.0,34.0
2011-01-07 07:00:00,1,0,1,1,8.2,10.605,69,8.9981,84.0
2011-01-07 08:00:00,1,0,1,1,8.2,9.85,51,16.9979,210.0
2011-01-07 09:00:00,1,0,1,1,8.2,9.09,47,19.9995,134.0
2011-01-07 10:00:00,1,0,1,1,9.02,9.85,37,22.0028,63.0
2011-01-07 11:00:00,1,0,1,2,8.2,9.85,40,15.0013,67.0
2011-01-07 12:00:00,1,0,1,2,8.2,9.85,37,16.9979,59.0
2011-01-07 13:00:00,1,0,1,2,8.2,9.09,37,19.0012,73.0
2011-01-07 14:00:00,1,0,1,2,8.2,9.85,40,16.9979,50.0
2011-01-07 15:00:00,1,0,1,2,8.2,10.605,37,11.0014,72.0
2011-01-07 16:00:00,1,0,1,2,8.2,10.605,37,11.0014,87.0
2011-01-07 17:00:00,1,0,1,2,8.2,12.88,37,0.0,187.0
2011-01-07 18:00:00,1,0,1,1,8.2,11.365,40,6.0032,123.0
2011-01-07 19:00:00,1,0,1,1,6.56,9.85,55,6.0032,95.0
2011-01-07 20:00:00,1,0,1,1,7.38,10.605,47,7.0015,51.0
2011-01-07 21:00:00,1,0,1,1,7.38,9.85,47,8.9981,39.0
2011-01-07 22:00:00,1,0,1,2,7.38,9.85,43,11.0014,36.0
2011-01-07 23:00:00,1,0,1,2,7.38,9.85,51,11.0014,15.0
2011-01-08 00:00:00,1,0,0,2,7.38,9.85,51,11.0014,25.0
2011-01-08 01:00:00,1,0,0,2,7.38,10.605,55,6.0032,16.0
2011-01-08 02:00:00,1,0,0,2,7.38,12.12,55,0.0,16.0
2011-01-08 03:00:00,1,0,0,3,7.38,9.85,55,11.0014,7.0
2011-01-08 04:00:00,1,0,0,3,7.38,9.85,55,11.0014,1.0
2011-01-08 05:00:00,1,0,0,2,6.56,8.335,74,11.0014,5.0
2011-01-08 06:00:00,1,0,0,2,6.56,8.335,74,11.0014,2.0
2011-01-08 07:00:00,1,0,0,2,6.56,9.09,74,7.0015,9.0
2011-01-08 08:00:00,1,0,0,3,6.56,9.09,93,7.0015,15.0
2011-01-08 09:00:00,1,0,0,3,6.56,9.09,93,7.0015,20.0
2011-01-08 10:00:00,1,0,0,2,7.38,9.85,80,11.0014,61.0
2011-01-08 11:00:00,1,0,0,2,8.2,9.09,69,26.0027,62.0
2011-01-08 12:00:00,1,0,0,2,8.2,9.09,59,23.9994,98.0
2011-01-08 13:00:00,1,0,0,1,8.2,9.09,44,22.0028,102.0
2011-01-08 14:00:00,1,0,0,1,8.2,8.335,32,32.9975,95.0
2011-01-08 15:00:00,1,0,0,1,8.2,8.335,32,30.0026,74.0
